path,template,campaign_id
/resources/articles/get-time-back-to-work-on-what-is-most-important,Essential,7015Y000003t1dKQAQ
/resources/articles/how-to-manage-compliance-workflows-and-mitigate-risk,Essential,7015Y000003t1dBQAQ
/resources/articles/the-complete-guide-to-planning-creative-projects,Essential,7015Y000003t1csQAA
/resources/articles/the-complete-guide-to-resource-management-for-creative-teams,Essential,7015Y000003t1d2QAA
/resources/ebooks/3-strategies-to-plan-successful-marketing-projects,Essential,7015Y000003t1cwQAA
/resources/ebooks/7-marketing-project-management-challenges-and-the-keys-to-solving-them,Essential,7015Y000003t1dFQAQ
/resources/ebooks/bringing-order-marketing-operations-processes,Essential,7015Y00000487veQAA
/resources/ebooks/how-modern-marketers-manage-digital-work-processes,Essential,7015Y000003t1dmQAA
/resources/ebooks/how-to-document-your-content-marketing-workflow,Essential,7015Y000003t1dPQAQ
/resources/ebooks/how-to-run-enterprise-cpg-like-a-startup,Essential,7015Y000003t1dnQAA
/resources/ebooks/marketing-operations-process-management-for-beginners,Essential,7015Y000003t1daQAA
/resources/ebooks/solving-7-marketing-project-management-challenges,Essential,7015Y000003t1e0QAA
/resources/ebooks/what-you-need-to-review-and-approve-digital-work,Essential,7015Y000003t1dbQAA
/resources/guides/calm-the-chaos-of-content-reviews-and-approvals,Essential,7015Y00000487vrQAA
/resources/guides/marketing-work-management-buyers-guide,Essential,7015Y0000048KjBQAU
/resources/guides/mighty-guide-7-experts-flawless-campaign-execution,Essential,7015Y000003t1deQAA
/resources/guides/quick-guide-work-management-healthcare-marketers,Essential,7015Y00000487vvQAA
/resources/guides/work-management-marketers-lifecycle-marketing-work,Essential,7015Y000004BUndQAG
/resources/infographics/7-stages-marketing-work-lifecycle,Essential,7015Y00000487vfQAA
/resources/reports/digital-transformation-and-the-modern-enterprise-report,Essential,7015Y000003t1dsQAA
/resources/reports/how-to-centralize-projects-in-one-solution,Essential,7015Y000003t1dUQAQ
/resources/videos/cio,Essential,7015Y00000487wOQAQ
/resources/videos/goals,Essential,7015Y000003t1czQAA
/resources/videos/golden-age-of-creativity,Essential,7015Y000003t1eKQAQ
/resources/videos/scenario-planner,Essential,7015Y000003t1dCQAQ
/resources/videos/why-workfront-video,Essential,7015Y000003t1cuQAA
/resources/videos/workfront-scenario-planner-overview-video,Essential,7015Y000003t1dIQAQ
/resources/videos/workfronts-adobe-integrations,Essential,7015Y000003t1dLQAQ
/resources/webinars/4-project-management-best-practices-disney-uses-create-magic,Essential,7015Y000004BVnaQAG
/resources/webinars/four-steps-streamline-marketing-workflow,Essential,7015Y000003t1dQQAQ
/resources/webinars/marketing-project-management-101,Essential,7015Y000003t1d4QAA
/resources/webinars/three-ways-under-armour-delivers-better-brand-experience-their-customers,Essential,7015Y000003t1eHQAQ
/uk/resources/ebooks/the-complete-guide-to-agile-marketing,Essential,7015Y000003t1ctQAA
/uk/resources/reports/state-of-work,Essential,7015Y00000489A8QAI
